acct_id,cust_initials,txn_date,txn_amount,merchant_category,merchant_zip,txn_type,balance_after
4973-3484-3443,WW,2024-06-27,1008.15,Gas Station,63389,debit,34386.78
5844-1986-6524,BJ,2024-12-14,4146.05,Groceries,10859,debit,21898.39
5747-3384-8421,TX,2024-08-02,3954.11,Travel,32280,transfer,18051.73
0833-0165-7120,RF,2024-05-28,3457.32,Entertainment,62851,debit,42806.91
7345-4019-3802,NF,2024-12-06,3190.07,Utilities,05264,credit,45886.96
6724-0049-9154,OU,2024-07-17,759.62,Online Shopping,65239,debit,28383.5
2874-3152-7420,XK,2024-10-15,439.72,Entertainment,74921,debit,719.99
3296-6851-6122,PK,2024-12-07,3975.72,Restaurant,01396,credit,18533.16
4637-4549-9045,WH,2024-01-23,1875.16,Healthcare,15996,debit,19806.36
7426-8414-5933,EP,2024-02-25,2739.18,Entertainment,98508,transfer,35247.61
9568-7833-9187,QW,2024-05-12,2668.62,Travel,74447,payment,27654.74
1088-3982-2587,DV,2024-03-15,3106.49,Restaurant,76935,credit,9511.47
7187-0728-6790,RO,2024-09-02,3715.21,Utilities,40893,credit,26707.43
0640-3910-6518,BC,2024-12-25,149.57,Utilities,62376,payment,23924.99
0462-2656-7661,VV,2024-11-15,1972.62,Entertainment,17932,payment,8908.06
5128-6823-0047,VX,2024-07-17,3444.1,Gas Station,70222,payment,31485.49
6337-5243-1069,YA,2024-03-28,165.65,Restaurant,09320,credit,39861.93
1907-9030-6738,GY,2024-11-11,2369.01,Healthcare,07899,credit,302.42
2843-9599-5342,VQ,2024-03-21,1680.03,Utilities,39888,credit,13019.99
4089-2687-0568,KW,2024-05-31,3991.7,Online Shopping,20059,transfer,40560.28
4628-7334-2708,NN,2024-07-22,610.43,Utilities,18076,payment,15820.92
6343-5175-1830,IM,2024-09-02,2833.33,Restaurant,79527,debit,10486.84
0139-8373-5403,GX,2024-02-12,1887.27,Online Shopping,99372,credit,5259.52
7393-6385-4678,UL,2024-04-22,3801.4,Groceries,47640,debit,2265.97
8771-7535-5609,HX,2024-02-23,1900.1,Gas Station,34681,debit,4461.5
8996-4235-3693,PR,2024-08-26,3252.39,Healthcare,90265,payment,14298.18
5477-7252-2872,RU,2024-12-15,4764.25,Entertainment,69175,payment,5085.58
0100-6231-2038,OL,2024-01-23,3428.08,Utilities,84089,transfer,16451.4
9770-0886-0084,RJ,2024-01-07,1651.53,Online Shopping,91970,payment,46196.8
6211-8233-9845,IZ,2024-05-24,1007.82,Gas Station,49397,debit,7724.46
6793-3410-1666,RP,2024-01-21,3562.8,Groceries,01739,debit,33042.84
2176-5918-0339,PI,2024-01-17,2380.88,Entertainment,10245,credit,15205.04
4890-2503-9261,JF,2024-07-24,639.54,Healthcare,74778,transfer,39977.01
6856-2185-0163,CK,2024-08-08,1710.73,Healthcare,80961,debit,13301.84
9650-4773-5866,FV,2024-08-01,4968.37,Travel,50317,transfer,134.91
1943-1142-6265,LD,2024-02-03,430.9,Online Shopping,40906,payment,8703.94
7541-2126-7888,ND,2024-01-10,3973.43,Entertainment,46889,payment,29006.53
8199-5604-6618,HS,2024-07-09,4770.24,Entertainment,90326,credit,11690.39
6224-4472-1264,NJ,2024-06-25,2330.73,Utilities,10583,transfer,10513.11
5437-9937-1240,MK,2024-11-03,349.95,Gas Station,50293,transfer,8046.75
5756-9245-9375,FM,2024-12-19,703.39,Travel,38701,payment,20619.9
7935-6465-1939,RF,2024-09-05,764.66,Entertainment,72603,debit,42636.23
0737-4167-2434,VE,2024-09-18,1675.62,Online Shopping,49913,transfer,33937.86
1797-9688-6805,WZ,2024-07-14,1734.7,Online Shopping,84148,payment,9393.4
1135-2909-6561,AD,2024-04-04,1194.01,Groceries,67436,debit,45510.41
8899-3756-7982,LA,2024-06-25,2401.3,Utilities,39223,credit,43548.38
6112-5457-3875,PD,2024-06-08,4122.38,Healthcare,91827,transfer,29465.52
7514-0105-1238,FR,2024-02-28,2511.25,Gas Station,73881,transfer,9913.44
6736-2266-0937,SN,2024-05-21,898.84,Gas Station,92872,credit,10763.21
3341-9182-5537,DI,2024-09-01,3851.55,Groceries,64658,payment,9593.82
8596-9691-5579,FV,2024-09-14,4244.2,Entertainment,39487,payment,11822.12
9912-5134-1252,QM,2024-06-01,2271.84,Restaurant,18571,payment,48644.27
9662-7828-2742,FK,2024-11-03,4615.17,Online Shopping,81688,transfer,14221.58
0507-2368-8767,NW,2024-11-02,822.4,Utilities,64555,debit,7086.16
2190-3404-3842,YO,2024-07-25,186.59,Healthcare,65422,transfer,47063.0
8819-1485-8078,GN,2024-02-07,4113.42,Utilities,86179,debit,26077.57
3407-4517-1339,WL,2024-11-10,337.43,Healthcare,80489,credit,47123.24
6292-3309-5849,RF,2024-04-28,277.11,Healthcare,92782,payment,48850.87
4494-8126-0422,HE,2024-09-16,4309.63,Gas Station,32948,debit,31957.63
6729-4667-1168,XI,2024-09-10,996.7,Gas Station,48875,payment,20035.35
7759-0175-1863,NG,2024-06-29,4398.06,Entertainment,42819,debit,12811.17
4589-2975-0017,AD,2024-12-05,4659.63,Gas Station,21208,debit,36975.73
7706-3242-4154,CL,2024-08-30,2513.35,Healthcare,85555,credit,30579.69
2064-3611-0371,ES,2024-03-23,171.54,Utilities,89627,debit,12750.05
7005-1627-1361,XZ,2024-02-07,2011.08,Utilities,41572,transfer,5972.15
5426-2218-9092,OL,2024-09-20,4428.92,Utilities,82824,credit,2595.83
2697-3112-1965,NK,2024-10-15,3970.47,Travel,32978,transfer,45201.74
4138-9994-0438,TQ,2024-03-09,4309.62,Utilities,51848,payment,26798.43
4037-6137-9180,LK,2024-02-18,2379.86,Groceries,74999,credit,49219.83
6582-7109-1043,BB,2024-12-12,1131.74,Gas Station,52664,credit,9271.06
8486-6618-8924,CJ,2024-01-29,2302.39,Entertainment,27134,transfer,40882.25
2856-9146-3031,ND,2024-06-14,671.97,Travel,80301,transfer,28716.17
0421-0202-7588,ZX,2024-04-04,2456.44,Travel,49242,credit,42030.54
2410-5648-1491,PO,2024-07-05,1656.03,Utilities,07767,debit,44956.02
7925-2419-1380,BA,2024-03-30,2561.17,Healthcare,62336,payment,13574.42
5622-0863-5365,IC,2024-07-27,4444.35,Groceries,16151,payment,6076.35
8023-8061-7445,CR,2024-06-15,1447.78,Healthcare,48855,credit,6611.63
3494-9375-9738,YZ,2024-03-30,28.93,Travel,01336,payment,908.28
6038-5050-6413,QH,2024-06-02,207.34,Online Shopping,08351,debit,1559.15
2410-3865-7191,QE,2024-08-20,925.37,Utilities,52189,credit,48478.8
1990-6234-4565,KO,2024-04-09,2916.3,Travel,10290,debit,2730.25
3291-2127-7561,RL,2024-12-18,2992.73,Gas Station,27716,payment,30958.56
7474-1124-9035,EC,2024-09-16,4563.53,Online Shopping,47128,transfer,14010.45
6804-4206-7883,DO,2024-02-07,3637.86,Entertainment,18823,credit,21554.7
1003-2365-1994,CA,2024-12-29,2497.24,Entertainment,26420,transfer,11762.78
7215-1070-2966,PA,2024-05-19,2630.08,Groceries,56424,payment,39527.93
2532-4472-0999,HU,2024-04-17,773.51,Gas Station,54501,debit,12692.39
8701-4626-3838,ZA,2024-12-27,2303.02,Online Shopping,94003,transfer,17603.75
5787-5985-6420,KT,2024-03-20,2514.72,Travel,37323,debit,30818.42
0785-9321-3348,ZX,2024-01-21,3769.92,Gas Station,29259,credit,12422.03
9652-2395-5905,SS,2024-02-21,3558.06,Groceries,25173,debit,18823.91
7842-7010-3930,QP,2024-01-01,3915.71,Groceries,80996,payment,4972.03
3252-5002-9218,LC,2024-05-16,3719.86,Utilities,87288,debit,35751.78
6915-4522-6752,WR,2024-09-10,1358.04,Healthcare,80941,debit,29457.87
5392-6442-2096,YS,2024-01-12,2146.28,Restaurant,79457,debit,29178.0
5939-1725-1355,FU,2024-11-19,3061.98,Groceries,12130,transfer,38550.39
5704-3315-4100,MO,2024-09-24,3520.38,Gas Station,22303,credit,22899.45
6765-8617-9327,CZ,2024-11-04,2543.89,Travel,39155,debit,48268.7
0541-1526-2181,KT,2024-12-25,586.99,Healthcare,63774,payment,36739.7
0629-6201-5336,WR,2024-09-20,855.44,Gas Station,96180,debit,38704.92
8444-3106-9872,BL,2024-01-02,1054.51,Gas Station,11986,payment,43216.33
4973-1032-4171,JZ,2024-05-25,4340.76,Online Shopping,64607,debit,30425.02
4186-2565-2704,OO,2024-04-06,2634.44,Gas Station,35701,debit,6545.33
9021-1586-9380,MQ,2024-06-01,1348.94,Travel,70691,payment,21753.46
7937-4160-8989,VT,2024-02-23,4472.87,Travel,99747,payment,26184.23
7223-3206-1632,TI,2024-04-26,3504.93,Entertainment,95803,transfer,44764.69
1168-6854-8709,SQ,2024-10-12,2310.02,Travel,15249,credit,34136.96
6229-9911-9148,LN,2024-04-06,4528.61,Gas Station,86325,payment,2463.97
7997-0246-2996,BM,2024-11-20,2504.45,Groceries,43950,credit,35232.67
3074-5054-4471,HE,2024-04-19,1286.29,Restaurant,97982,payment,30900.81
7546-9137-3678,LB,2024-07-07,3069.53,Restaurant,21337,payment,36485.32
1486-2890-2330,HB,2024-06-15,2711.6,Groceries,47736,credit,10199.64
3457-8610-3579,OF,2024-12-16,3419.66,Entertainment,62705,credit,25266.43
9855-2414-0602,SY,2024-12-18,182.48,Utilities,29513,debit,34593.11
3346-8007-2290,HI,2024-08-10,23.92,Travel,40538,payment,17154.75
4665-7437-4896,SD,2024-01-03,508.73,Utilities,87317,payment,35369.81
5899-4417-1545,II,2024-08-27,4395.82,Travel,85890,credit,22862.81
4328-3096-5207,JI,2024-11-27,3566.1,Groceries,53532,credit,48524.38
6099-3538-7584,FV,2024-11-15,559.71,Gas Station,24242,transfer,2280.76
4172-4825-1353,XJ,2024-06-02,1869.49,Travel,43927,payment,40845.85
5494-7170-9991,PG,2024-07-01,3422.63,Gas Station,89721,transfer,26581.16
6846-0223-5697,EK,2024-11-10,2589.52,Utilities,24140,credit,4630.72
1752-5007-4329,YF,2024-06-27,3129.15,Online Shopping,12040,payment,15041.58
2966-6676-0083,XL,2024-12-12,711.81,Travel,42734,credit,27268.22
8300-3354-2168,SJ,2024-03-01,1400.45,Utilities,06493,credit,12197.62
4478-9856-2575,YG,2024-03-01,3679.92,Gas Station,53374,debit,39825.08
0332-3098-2150,MU,2024-04-03,711.65,Gas Station,70589,payment,34766.4
9090-1001-6761,RI,2024-06-22,4747.44,Online Shopping,20571,transfer,2742.88
3046-1849-9261,QX,2024-08-13,3132.93,Travel,37555,payment,45931.73
1173-9348-3564,FB,2024-07-19,1446.07,Healthcare,27723,credit,47850.89
7530-0119-7218,CX,2024-09-21,490.37,Online Shopping,34041,debit,9410.02
3744-7012-0455,NX,2024-02-12,4597.48,Online Shopping,99880,debit,29895.93
0022-5579-4155,FD,2024-05-26,651.23,Groceries,60340,payment,42831.89
4676-2120-2169,PZ,2024-07-26,4744.64,Groceries,57931,payment,41531.16
2965-9027-7167,BC,2024-04-05,4903.98,Groceries,41688,transfer,33824.67
0899-3588-9163,PL,2024-08-30,4431.45,Online Shopping,84571,credit,28185.81
6289-0028-7721,YP,2024-04-27,1671.18,Restaurant,43872,credit,8952.56
4083-8663-1779,OC,2024-11-08,2371.06,Entertainment,59099,transfer,10833.86
5170-1660-8801,ZT,2024-12-17,2139.48,Groceries,84064,transfer,12526.56
4883-7550-3758,YT,2024-08-06,902.05,Online Shopping,94434,credit,3492.04
5711-3055-4885,WD,2024-01-17,3778.25,Restaurant,22017,payment,18127.03
7261-4933-1637,ZG,2024-09-18,1335.05,Utilities,14626,payment,46734.73
6091-7798-2708,XB,2024-07-20,852.12,Gas Station,57230,payment,26419.21
9782-9221-6995,QM,2024-06-01,1531.3,Groceries,80323,debit,36894.58
3465-4722-6984,WR,2024-11-10,460.75,Utilities,93807,transfer,5511.74
8333-9452-2885,WD,2024-10-04,4821.67,Restaurant,74200,transfer,33978.74
7996-8460-8106,EB,2024-09-01,2463.8,Restaurant,26702,credit,33553.31
4244-2043-8057,DT,2024-11-12,723.85,Gas Station,97427,credit,41416.7
8386-3840-6665,RB,2024-01-05,1777.99,Online Shopping,33444,transfer,6570.8
3973-5989-3347,FV,2024-01-28,1896.74,Groceries,23280,payment,27030.4
8160-6484-2294,AK,2024-06-19,836.74,Restaurant,20791,payment,24170.73
0259-0947-9851,ZW,2024-04-26,205.2,Groceries,29331,transfer,27285.24
2818-2688-6153,GV,2024-05-01,4390.86,Travel,47791,transfer,45651.21
4398-7801-5739,TH,2024-12-15,606.99,Groceries,89964,credit,7148.99
5616-4840-8588,OP,2024-01-17,2120.01,Online Shopping,85898,debit,6889.09
3581-1288-0133,VN,2024-11-01,4748.59,Utilities,27446,transfer,44712.02
8612-0750-1102,ZI,2024-07-22,1711.99,Healthcare,75862,transfer,23160.27
3466-7665-0618,AU,2024-09-19,3499.21,Travel,08789,transfer,35977.41
9015-8144-9147,MM,2024-10-27,3451.92,Travel,04540,debit,49484.44
7283-2684-2450,RR,2024-02-21,408.32,Healthcare,05976,payment,26743.12
0996-8814-3536,UQ,2024-02-21,2771.66,Gas Station,24617,payment,37519.1
3943-1290-8781,JV,2024-01-25,1420.66,Utilities,13372,transfer,35668.74
3975-5231-4913,KP,2024-06-13,3800.32,Healthcare,81286,debit,29894.19
4929-9556-2053,ZH,2024-09-16,1502.1,Restaurant,84496,payment,15333.88
6452-5777-5478,DF,2024-08-23,2772.96,Travel,11245,credit,38913.22
4283-4110-8099,MY,2024-08-03,4999.47,Utilities,05305,debit,19961.4
8488-7256-3942,OQ,2024-07-05,4000.6,Travel,52508,payment,4848.77
5803-9282-7229,SV,2024-11-14,4374.21,Gas Station,19663,payment,29583.95
7503-7314-5303,QZ,2024-05-11,4223.45,Gas Station,62062,credit,28946.72
7005-1844-9892,MU,2024-05-18,2319.76,Healthcare,77529,credit,23356.7
1846-3865-5779,AQ,2024-11-17,2588.19,Healthcare,58159,credit,31586.57
2318-4322-2591,VH,2024-05-31,3077.71,Online Shopping,43784,transfer,9378.24
1777-3926-0302,SS,2024-02-28,2615.7,Travel,83016,debit,25099.89
8092-0242-8699,UA,2024-11-16,3135.43,Healthcare,95918,payment,43927.21
4137-9772-3692,ZS,2024-10-26,1901.98,Groceries,24340,transfer,22817.97
9842-5799-1366,ED,2024-01-07,2093.52,Gas Station,69013,transfer,8495.68
8629-1279-9088,YD,2024-02-04,4204.26,Healthcare,86928,transfer,12793.56
2980-6865-0863,ZP,2024-10-15,4353.63,Restaurant,50470,transfer,49109.96
5991-6247-3149,RN,2024-04-04,2193.27,Online Shopping,01217,payment,24834.45
0981-8063-5651,EN,2024-08-25,1560.88,Restaurant,33745,debit,5110.16
4869-5946-3688,PF,2024-05-15,585.59,Online Shopping,73234,payment,42328.44
7449-5621-3721,GQ,2024-05-26,4455.07,Travel,44860,payment,18856.17
8902-6012-7961,CI,2024-03-21,316.88,Utilities,10991,debit,8208.12
9066-9849-0277,AG,2024-11-06,2806.78,Entertainment,68416,payment,40096.27
4309-8839-2053,UA,2024-12-22,4292.19,Healthcare,11883,credit,21218.11
4656-6938-0118,JX,2024-10-29,1654.92,Restaurant,76907,debit,48103.5
5543-9376-9042,NQ,2024-02-08,3774.97,Restaurant,09988,payment,20160.2
8451-8489-4769,PY,2024-03-29,3439.73,Travel,45021,payment,13029.34
7790-7141-6335,NL,2024-07-07,4080.28,Healthcare,01775,payment,15542.94
4341-6518-2755,GS,2024-04-08,1195.48,Online Shopping,98301,payment,17145.44
3733-3433-3395,EY,2024-02-08,1505.04,Gas Station,10788,transfer,22450.63
7908-0759-5794,PF,2024-12-25,1673.24,Utilities,67496,payment,48456.81
4639-2086-7808,LM,2024-11-10,2259.55,Entertainment,23412,debit,891.82
7187-5003-6915,LT,2024-11-10,1255.84,Healthcare,25031,credit,24616.13
8434-7955-2763,NW,2024-10-01,4839.55,Travel,48352,credit,37132.75
6472-9293-1438,NM,2024-03-12,3223.74,Gas Station,97303,payment,48745.03
2702-6728-8574,IR,2024-11-09,935.52,Entertainment,06754,payment,24288.27
6120-3471-7545,LR,2024-07-22,904.95,Restaurant,34280,transfer,23884.36
5061-5939-9824,LK,2024-09-02,3144.11,Restaurant,64397,debit,6201.48
7169-4722-5699,MC,2024-01-29,4792.38,Healthcare,45540,transfer,22339.4
3554-4964-7598,ON,2024-03-02,2631.77,Entertainment,03528,transfer,2542.48
